JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460838.500000000, A.D. 2025-Jun-12 00:00:00.0000, -2.468264841454787E+08, -3.420692724592941E+06,  5.981105753712748E+06,  1.239980507012123E+00, -2.215598640396930E+01, -4.947205215219217E-01,
2460839.500000000, A.D. 2025-Jun-13 00:00:00.0000, -2.467112269836725E+08, -5.334836340767111E+06,  5.938165510526378E+06,  1.428026099599170E+00, -2.215264995561980E+01, -4.992619223414785E-01,
2460840.500000000, A.D. 2025-Jun-14 00:00:00.0000, -2.465797184890467E+08, -7.248628495397042E+06,  5.894834112207141E+06,  1.616167221468176E+00, -2.214785021953130E+01, -5.037749816776653E-01,
2460841.500000000, A.D. 2025-Jun-15 00:00:00.0000, -2.464319508029985E+08, -9.161942641914951E+06,  5.851114018611347E+06,  1.804394685847450E+00, -2.214158447485215E+01, -5.082594252331045E-01,
2460842.500000000, A.D. 2025-Jun-16 00:00:00.0000, -2.462679168640525E+08, -1.107465199819202E+07,  5.807007714104191E+06,  1.992699266719132E+00, -2.213385000827576E+01, -5.127149807088598E-01,
2460843.500000000, A.D. 2025-Jun-17 00:00:00.0000, -2.460876104116701E+08, -1.298662954802585E+07,  5.762517707577547E+06,  2.181071678284041E+00, -2.212464410969151E+01, -5.171413674643652E-01,
2460844.500000000, A.D. 2025-Jun-18 00:00:00.0000, -2.458910259901803E+08, -1.489774804285973E+07,  5.717646532482874E+06,  2.369502572671080E+00, -2.211396407992598E+01, -5.215382956287753E-01,
2460845.500000000, A.D. 2025-Jun-19 00:00:00.0000, -2.456781589529349E+08, -1.680788000362599E+07,  5.672396746929059E+06,  2.557982549727887E+00, -2.210180724519768E+01, -5.259054718768770E-01,
2460846.500000000, A.D. 2025-Jun-20 00:00:00.0000, -2.454490054665859E+08, -1.871689772250821E+07,  5.626770933811532E+06,  2.746502162355648E+00, -2.208817097055073E+01, -5.302426035396604E-01,
2460847.500000000, A.D. 2025-Jun-21 00:00:00.0000, -2.452035625152875E+08, -2.062467326463693E+07,  5.580771700883648E+06,  2.935051917985114E+00, -2.207305266080350E+01, -5.345494003918789E-01,
2460848.500000000, A.D. 2025-Jun-22 00:00:00.0000, -2.449418279048023E+08, -2.253107846989771E+07,  5.534401680747434E+06,  3.123622283768992E+00, -2.205644974354723E+01, -5.388255769094563E-01,
2460849.500000000, A.D. 2025-Jun-23 00:00:00.0000, -2.446638002667104E+08, -2.443598495489810E+07,  5.487663530849886E+06,  3.312203688930598E+00, -2.203835964838894E+01, -5.430708522287535E-01,
2460850.500000000, A.D. 2025-Jun-24 00:00:00.0000, -2.443694790628790E+08, -2.633926411493877E+07,  5.440559933570671E+06,  3.500786514535049E+00, -2.201877980710906E+01, -5.472849448484398E-01,
